"Step","base_howscorepredictor_s44_d256_h5_lWeighted_MSE_m2_w6_20240923_081100 - Val/acc_all_0","base_howscorepredictor_s44_d256_h5_lWeighted_MSE_m2_w6_20240923_081100 - Val/acc_all_0__MIN","base_howscorepredictor_s44_d256_h5_lWeighted_MSE_m2_w6_20240923_081100 - Val/acc_all_0__MAX"
"1","32.766990661621094","32.766990661621094","32.766990661621094"
"2","48.02791213989258","48.02791213989258","48.02791213989258"
"3","49.05946731567383","49.05946731567383","49.05946731567383"
"4","0.3944174647331238","0.3944174647331238","0.3944174647331238"
"5","0.3640776574611664","0.3640776574611664","0.3640776574611664"
"6","0.3640776574611664","0.3640776574611664","0.3640776574611664"
"7","0.3640776574611664","0.3640776574611664","0.3640776574611664"
"8","0.3640776574611664","0.3640776574611664","0.3640776574611664"
"9","0.3640776574611664","0.3640776574611664","0.3640776574611664"
"10","0.3640776574611664","0.3640776574611664","0.3640776574611664"
"11","8.070388793945312","8.070388793945312","8.070388793945312"
"12","17.77912712097168","17.77912712097168","17.77912712097168"
"13","19.660194396972656","19.660194396972656","19.660194396972656"
"14","21.783981323242188","21.783981323242188","21.783981323242188"
"15","22.785194396972656","22.785194396972656","22.785194396972656"
"16","31.067960739135742","31.067960739135742","31.067960739135742"
"17","38.8956298828125","38.8956298828125","38.8956298828125"
"18","46.26820373535156","46.26820373535156","46.26820373535156"
"19","57.25121307373047","57.25121307373047","57.25121307373047"
"20","62.317962646484375","62.317962646484375","62.317962646484375"
"21","67.2330093383789","67.2330093383789","67.2330093383789"